id,hub, authority
2093,0,0.000107363
2095,0,0.000107363
2096,0,0.000107363
2097,1.77E-06,0.000107363
2098,0,0.000107363
2104,0,0.000109552
2105,0,6.92E-07
2107,0,1.29E-05
2109,0,0.000107363
2110,0,3.52E-07
2111,0,9.72E-06
2117,0,3.85E-05
2118,0,0.000107363
2121,0,0.000107363
2127,1.78E-05,0
2129,0,0.000107363
2134,0,0.000107363
2137,0,2.25E-05
2152,0,0.000107363
2153,0,0.000107363
2158,0,0.000107363
2159,0,0.000119889
2160,0,9.40E-06
2163,0,0.000107363
2171,0,0.000120232
2175,0,0.000107363
2176,0.000163701,0.000157436
2177,0,0.000107363
2178,0,1.26E-05
2181,0,4.51E-07
2183,0,0.000107363
2184,0,0.000107363
2186,0,0.000107363
2187,0,0.000107363
2191,0,0.000107363
2193,0,1.29E-05
2194,0,3.09E-05
2195,0,2.71E-06
2198,0,1.29E-05
2201,0,0.000107363
2204,0,0.000107363
2209,0,0.000107363
2218,0,0.000107363
2219,0.000176398,1.62E-05
2220,7.14E-05,0
2221,0,1.29E-05
2222,0,0.000107363
2228,0,0.000107363
2237,0,0.000107363
2245,0,1.58E-05
2247,0,0.000107363
2263,0,0.000107363
2265,0,0.000107363
2269,0,0.000107363
2270,0,0.000107363
2273,0,0.000107363
2275,0,0.000107363
2277,0,0.000120232
2281,0,0.000120232
2282,0,0.000107363
2283,0,2.99E-06
2284,0,1.29E-05
2285,0,1.29E-05
2286,0,0.000107363
2289,6.01E-05,0
2294,0,2.98E-06
2297,0,5.62E-06
2300,0.000421844,0.00017524
2302,0,0.0001298
2303,0,0.000107363
2307,0,0.000107363
2311,0,0.000107363
2312,2.71E-05,0
2313,0,1.71E-05
2316,0,3.31E-05
2317,0,0.000107363
2319,0,0.000107363
2321,0,1.29E-05
2323,0,0.000107363
2328,0.000889173,0.000184929
2330,0,0.000107363
2333,0,0.000107363
2334,2.36E-05,0
2337,0,0.000107363
2338,0,1.32E-06
2341,0,0.000107363
2343,0,0.000107363
2344,0,0.000107363
2346,0,0.000107363
2347,0,0.000165059
2352,0,0.000107363
2353,0,0.000107363
2355,0,1.95E-07
2359,0,0.000107363
2362,5.42E-05,0
2367,7.42E-05,0
2370,0,0.000107363
2371,0,3.45E-07
2377,0,3.60E-06
2378,0,0.000107363
2382,0,0.000108969
2386,3.19E-05,0
2390,0,0.000127457
2394,0,5.27E-06
2395,1.77E-05,0
2397,0,0.000107363
2401,0,0.000132582
2409,0,0.000107363
2410,0,0.000107363
2414,0,1.58E-05
2418,0,2.36E-06
2420,0,0.000107363
2423,0,0.000107363
2425,0,0.000120232
2431,0.00463282,0.000124008
2433,0,0.000157838
2434,0,0.000107363
2436,0,6.78E-06
2439,0,2.08E-05
2441,1.83E-05,0
2442,0,0.000107363
2444,0,0.000107582
2445,1.70E-05,0
2446,0,0.000107363
2450,0,0.000107363
2451,0,0.000107363
2455,0,0.000107363
2461,0,0.000107363
2462,9.40E-05,0
2465,0,0.000107363
2470,0,0.000107363
2471,0.000149955,8.46E-05
2472,0,0.000107363
2473,1.59E-05,0
2474,0,0.000140357
2475,0,0.000107363
2483,0,0.000120232
2485,0,0.000107363
2489,0,1.17E-07
2490,0,0.000107363
2493,0,0.000107363
2495,0,5.77E-06
2496,0,0.000107363
2502,0,6.22E-07
2503,0,0.000107363
2504,0,0.000120232
2506,0,0.000107363
2513,0,0.000107363
2517,0,0.000107363
2520,0,0.000107363
2539,0,4.25E-06
2544,0,4.91E-05
2547,0,0.000134878
2550,0,0.000107363
2551,0,0.000107363
2556,0,0.000120232
2559,0,0.000107363
2561,0,0.000107363
2563,0,5.10E-07
2565,0.000103088,2.78E-07
2567,0,0.000107363
2569,0,0.000107363
2571,0,1.58E-05
2573,0,0.000109775
2575,0.000219304,0.00015742
2579,0,0.000107363
2590,0,0.000107363
2597,0,0.000107363
2601,7.22E-05,1.32E-05
2602,0,0.000107363
2603,0,6.41E-05
2605,0,0.000107363
2610,0,0.000107363
2614,0,0.000107363
2616,0,0.000107903
2617,0,3.33E-07
2618,0,1.42E-05
2619,0,0.000107363
2625,0,4.00E-05
2628,0,0.000107363
2629,0,0.000107363
2631,0,0.000107363
2632,3.08E-05,0
2635,0,0.000107363
2637,0,1.29E-05
2638,0,0.000107363
2645,0,0.000107363
2653,0,0.000109775
2654,0,1.72E-05
2659,0,9.40E-06
2660,0,0.000107363
2662,8.37E-05,3.13E-05
2664,8.79E-05,0
2672,0,0.000107363
2682,0,0.000107363
2683,0,0.000154754
2693,0,7.82E-06
2694,0,0.000107363
2695,0,0.000107363
2696,0,0.000107363
2697,0,1.72E-05
2698,4.56E-05,0
2701,0,0.000107363
2702,0,0.000107363
2707,0,0.000107363
2714,0,0.000107363
2718,0,0.000107363
2722,0,0.000120232
2725,0,9.87E-06
2730,0,1.72E-05
2731,0,5.67E-05
2733,0,1.71E-05
2736,0,0.000107363
2737,0,0.000107363
2740,7.40E-05,0
2741,0,0.000107363
2742,0,0.000120232
2743,0,0.000107363
2745,1.71E-05,0
2746,0,2.33E-05
2747,0,1.29E-05
2749,0,1.29E-05
2750,0,0.000107363
2755,0.00127504,0.000107432
2767,0,0.000107363
2775,1.94E-05,0
2782,0,0.000120232
2790,0,4.95E-06
2792,0,0.000107363
2794,0,0.000107363
2799,0,0.000120232
2800,0,0.000107363
2804,0,5.02E-05
2806,0,0.000107363
2808,0,0.000120232
2809,0,1.29E-05
2810,0,0.000107363
2812,0,0.000107363
2814,0,0.000107363
2816,0,0.000185277
2817,0,0.000107363
2822,0,0.000107363
2837,0,0.000107363
2838,0,0.000107363
2839,5.31E-05,0
2844,0,6.31E-06
2854,0,0.000120232
2855,0,0.000107363
2856,0,0.000107363
2857,0,0.000107363
2858,0,0.000107363
2859,0,3.72E-05
2868,0,0.000107363
2872,0,0.000107363
2878,0,2.11E-06
2881,0,1.33E-05
2883,0,0.000107363
2884,0,2.65E-06
2885,0,0.000107363
2886,0,0.000107363
2891,0,0.000107363
2892,0,0.000107363
2893,1.67E-05,0
2896,0,0.000107363
2897,0,0.000107363
2904,0,0.000125253
2907,0,0.000107363
2909,0,0.000107363
2913,0,0.000107363
2915,0,3.07E-05
2924,0,0.000107363
2927,0,0.000107363
2930,0,1.93E-05
2931,0,0.000107363
2933,0,0.000107363
2935,0,7.91E-06
2937,0,8.68E-06
2939,0,0.000107363
2942,0,0.000107363
2943,0,0.000107363
2953,0,0.000120232
2958,1.11E-95,0
2960,0,0.000107363
2969,0,0.000107363
2978,0,7.82E-06
2979,0.000609145,5.09E-05
2983,0,0.000107363
2989,0,3.16E-06
2992,0,0.000107363
2995,0,1.54E-05
2997,0,0.000107363
3001,0,1.29E-07
3003,0,0.000107363
3005,0,0.000107363
3007,0,0.000120232
3011,0,0.000107363
3014,0,1.29E-05
3016,0,0.000107363
3027,0,9.40E-06
3028,0,0.000120232
3031,0,0.000107363
3036,0,0.000107363
3038,0,0.000107363
3040,0,2.76E-06
3042,0,0.000107363
3044,0,1.92E-05
3045,0,0.000107363
3048,0,2.07E-05
3053,0,0.000107363
3054,0,0.000107363
3056,0,0.000107363
3059,0,1.29E-05
3061,0,3.86E-05
3062,0,0.000120232
3065,0,0.000108125
3069,0,0.000107363
3071,0,5.12E-05
3072,2.57E-05,2.61E-05
3073,0,0.000107363
3079,0,0.000107363
3081,0,0.000107363
3091,1.56E-05,0
3103,0,1.19E-06
3109,0,0.000107363
3110,0,8.16E-07
3113,0,0.000120232
3115,0,2.32E-05
3116,0,0.000107363
3117,0,0.000107363
3118,0,1.56E-05
3119,0,9.87E-06
3125,0,0.000107363
3126,0,1.58E-05
3128,0,1.89E-05
3131,0,0.000107363
3132,0,0.000107363
3135,0,0.000147379
3139,0,0.000107363
3140,0,0.000107363
3141,0,0.000107363
3142,0.000183157,0
3143,0,0.000107363
3145,0,1.54E-06
3151,0,1.29E-05
3153,0,0.000107363
3155,0,0.000107363
3157,0,0.000120232
3158,0,0.000107363
3160,0.001452062,0.00015965
3166,0,0.000118751
3175,0,2.57E-05
3179,0,0.000118723
3180,0,1.29E-05
3185,0,0.000107363
3187,0,0.000107363
3189,0,0.000107363
3190,0,0.000107363
3191,0,0.000107363
3195,0,0.000107363
3201,0,3.16E-06
3208,0.000177392,0.000109484
3216,0,0.000107363
3217,0,0.000107363
3218,0,0.000134853
3219,0,1.65E-06
3221,0,0.000113007
3222,7.40E-05,0
3228,0,0.000107363
3233,0,0.000107363
3234,0,0.000107363
3235,0,1.72E-05
3236,0,0.000120232
3238,7.40E-05,0
3243,0,7.38E-06
3246,0.000260165,0.000108222
3249,0,4.58E-06
3250,0,0.000107363
3253,0,0.000107363
3257,0,0.000112684
3263,0,0.000107363
3272,0,0.000107363
3276,3.08E-05,0
3282,0,0.000107363
3284,0,0.000107363
3287,0,7.40E-07
3288,0,0.000119071
3291,0,9.47E-06
3293,0,0.000107363
3295,0,0.000107363
3301,0,0.000107363
3303,0,0.000129674
3304,0,0.000107363
3305,0,0.000116759
3306,0,0.000107363
3311,0,0.000107363
3313,0,0.000107363
3314,0,3.41E-06
3326,0,2.98E-06
3328,0,0.000107363
3333,0,0.000107363
3334,0,2.30E-06
3335,0,0.000107363
3336,0,0.000120232
3340,0,0.000107363
3343,0,0.000107363
3345,0,0.000107363
3349,0,0.000107363
3350,4.18E-05,0
3352,0,0.000107363
3354,0,0.000107363
3355,0,0.000107363
3356,0,0.000109089
3360,0,0.000107363
3361,0.000186526,2.78E-07
3363,0,0.000107363
3374,0,0.000107363
3385,0,2.55E-05
3386,0,0.000107363
3390,0,1.29E-05
3398,0,0.000107363
3401,0,0.000107363
3402,0,1.04E-05
3405,0,0.000135876
3406,0,1.13E-06
3407,0,0.000107363
3416,0,4.34E-05
3418,0,0.000107363
3424,0,0.000120232
3427,0,0.000120232
3429,0,0.000107363
3430,0,1.29E-05
3431,0,1.90E-06
3433,0,0.000107363
3434,0,0.000107363
3440,0,0.000107363
3441,0,9.91E-06
3442,0,2.20E-06
3443,0,1.19E-06
3445,0,1.42E-05
3446,0,0.000120232
3447,0,0.000120232
3451,0,0.000107363
3460,0,1.67E-05
3463,0,0.000127797
3466,0,0.000107363
3473,0,0.000107363
3474,0,0.000170419
3476,1.36E-06,0
3477,0,1.29E-05
3479,0,4.90E-06
3482,0,3.14E-07
3483,0,0.000107363
3485,0,0.000107363
3489,0,0.000107363
3490,0,1.07E-05
3491,0,0.000107363
3496,0,0.000107363
3502,0,0.000107363
3506,0,7.82E-06
3508,0,0.000107363
3510,0,0.000107363
3514,0,2.29E-05
3515,0,0.000120232
3517,0,0.000110227
3518,0,9.63E-07
3520,0,0.000107363
3521,0,0.000107363
3528,0,0.000107363
3530,0,0.000107363
3532,0,1.76E-05
3535,0,0.000120232
3536,0,2.24E-05
3545,0,1.29E-05
3546,0,0.000107363
3553,0,1.44E-06
3559,0,1.72E-05
3561,0,0.000107363
3563,0,0.000107363
3567,0,0.000107363
3568,0,2.59E-05
3576,0,1.30E-05
3579,0,4.45E-05
3581,0,0.000107442
3582,0,0.000107363
3583,0,0.000107363
3589,0.000161642,0.000107363
3591,0,2.44E-05
3594,0,0.000107363
3595,0,0.000107363
3596,0,2.70E-05
3599,3.34E-05,0
3607,0,0.000107363
3608,0,0.000107363
3611,0,0.000107363
3612,0,1.71E-05
3614,0,0.000107363
3615,0,0.000107363
3617,0,2.53E-05
3618,0,0.000107363
3620,0,1.29E-05
3624,0,0.000107363
3625,0,0.000107363
3627,0,9.91E-06
3628,0,0.000107363
3632,6.73E-05,0
3637,0.001196691,0.000125634
3638,7.40E-05,0
3640,8.87E-05,0
3644,0,0.000107363
3658,0,0.000107363
3660,4.57E-05,0
3663,0,2.40E-05
3665,0,0.000107363
3667,0,0.000107363
3668,1.62E-05,0
3672,0,0.000107363
3674,0,9.08E-07
3676,0,0.000107363
3679,0,2.65E-05
3682,7.40E-05,0
3684,0,0.000107363
3685,0,1.74E-05
3686,1.95E-05,0
3693,0,0.000107363
3698,0,0.000107363
3700,0.000998657,0.000120232
3701,0.000883135,0.000107641
3702,0,0.000107363
3708,7.40E-05,0
3712,0.00556355,0.000323131
3716,5.58E-05,0
3718,0,7.98E-07
3720,0,1.29E-05
3724,4.79E-05,0.000110974
3726,0,0.000107363
3734,0,3.46E-06
3740,0,0.000107363
3741,0,9.78E-06
3746,0,3.05E-05
3747,0,0.000107363
3748,0,2.86E-05
3750,0,0.000107363
3752,0,0.000107363
3755,0,1.29E-05
3757,0,0.000107363
3761,0,0.000107363
3767,7.05E-05,0.000118204
3772,0,9.98E-06
3777,0.000151968,0
3784,0,4.29E-06
3785,0,0.000107363
3789,0,0.000107363
3790,0,0.000107363
3794,0,0.000107363
3795,0,6.99E-07
3797,0,0.000107363
3798,0,0.000107363
3800,0,0.000107363
3801,0,1.29E-05
3805,0,7.25E-07
3812,0.000625295,1.45E-08
3814,0,5.21E-07
3816,0,8.22E-07
3820,0,1.29E-05
3822,0,1.54E-06
3825,0,0.000107363
3827,0,0.000120232
3829,0.000403569,1.29E-05
3830,0,0.000107363
3832,7.62E-05,7.74E-08
3837,0,0.000107363
3838,0,0.000107363
3839,0,2.55E-06
3841,0.000269296,0.000113448
3843,7.40E-05,0
3850,0,0.000107363
3851,0,0.000107363
3854,0,0.000107363
3858,0,3.64E-06
3860,0,0.000107363
3865,0,1.29E-05
3866,0,3.45E-08
3867,0,0.000107363
3874,0,0.000107363
3877,0,0.000107363
3887,0,0.000107363
3889,0,0.000120232
3894,0,0.000107363
3897,7.95E-05,0
3903,0,0.000107363
3906,0,4.32E-06
3907,0,1.00E-05
3915,0,0.000108905
3922,0,0.000108905
3923,0,1.80E-07
3929,0,3.93E-06
3942,0,0.000107363
3944,0,3.05E-07
3945,0,0.000109602
3947,0,0.000108185
3955,0,3.08E-05
3959,0,0.000107363
3960,0,4.09E-07
3967,2.55E-05,0
3970,0,0.000107363
3971,0,0.000107363
3974,0,0.000107363
3977,0,0.000107363
3978,0.000378779,6.91E-08
3979,0,0.000107363
3980,0,1.29E-05
3983,0,1.29E-05
3985,0,0.000107363
3994,0,0.000107363
4004,0.000443773,0
4007,0,0.000107363
4009,7.40E-05,0
4010,0,7.82E-06
4011,0,0.000107363
4014,0.000365061,7.70E-06
4018,2.51E-05,0
4019,0,0.000107363
4026,0.000190555,9.29E-07
4030,0,0.000107363
4031,0,2.36E-05
4032,0,0.000107363
4035,0,1.74E-07
4037,0,0.000120232
4042,0,1.29E-05
4046,0,2.00E-06
4047,0,0.000107363
4050,0,0.000107363
4058,0,0.000107363
4067,0,0.000107363
4076,0,0.000107363
4077,0,0.000107363
4088,0,0.000107363
4090,0,1.58E-05
4100,0,1.29E-05
4107,0,9.61E-07
4112,0,0.000107474
4115,4.58E-05,0
4119,0,1.12E-05
4120,0,0.000107363
4122,0.000835512,0.000107363
4128,0,0.000110739
4131,0,1.26E-05
4132,0,0.000107363
4134,0,1.19E-06
4135,0,0.000107363
4140,0,1.91E-07
4141,0,0.000107363
4157,0,0.000107363
4163,0,0.000107363
4172,0,1.29E-05
4175,0,1.29E-05
4180,0,0.000107363
4183,0,0.000107363
4187,0,0.000107363
4190,0,0.000107363
4191,0,0.000107363
4193,0,1.29E-05
4195,0,3.34E-06
4197,2.80E-08,6.47E-06
4199,4.00E-06,0
4200,0,0.000107363
4201,0,0.000107363
4202,0,1.67E-05
4205,3.22E-05,0
4206,0,1.29E-05
4210,0,0.000134352
4212,0,0.000107363
4213,0,0.000107363
4214,0,0.000107363
4220,0,0.000120232
4230,0.000317369,6.53E-06
4235,0,0.000120232
4238,0,0.000107363
4242,0,0.000107363
4245,0,0.000174593
4250,0,0.000107363
4251,0,1.29E-05
4254,0,0.000107363
4261,0,0.000107363
4281,0,0.000107363
4285,9.52E-05,0
4287,0,1.83E-05
4288,0,1.50E-07
4289,0.000101043,0
4290,0,0.000120232
4291,0,2.46E-05
4292,0,0.000107363
4299,0,0.000107363
4307,0,1.19E-06
4309,0,0.000107363
4310,0,1.74E-05
4311,0,0.000107363
4312,5.91E-06,0.000107363
4315,3.44E-05,0
4319,0,0.000107363
4321,0,0.000107363
4324,0,1.29E-05
4325,7.54E-06,1.82E-05
4326,0,0.000107363
4327,0,0.000107363
4328,0.000983504,0.000107363
4331,0,0.000107363
4333,0,0.000107363
4337,0,0.000107363
4339,0,1.29E-05
4343,0,2.41E-06
4347,0,0.000107363
4351,0,0.000107363
4352,0,1.19E-06
4353,0,5.99E-06
4354,0,0.000107363
4358,0,1.79E-06
4362,0,0.000137349
4366,0,1.54E-06
4368,0,0.000107363
4370,0,0.000107363
4382,0,0.000107363
4385,0,0.000107363
4386,0,0.000107363
4391,0,0.000120232
4393,0,0.000107363
4394,0,0.000107363
4397,0,0.000107363
4399,0,0.000107363
4404,0,1.03E-05
4405,0,0.000107363
4410,0,1.58E-05
4411,0.000216402,0.000143185
4416,0,1.71E-05
4417,0,7.00E-06
4422,0,0.000107363
4426,0,0.000107363
4428,3.12E-05,0
4430,0,0.000107363
4435,0,0.000107363
4444,6.01E-05,0
4446,0.000231538,4.42E-05
4447,0.00185107,0.000108278
4448,0,0.000107363
4453,0,0.000107363
4454,0,0.000109608
4455,4.42E-05,0
4458,0,1.26E-05
4459,0,0.000107363
4460,0,0.000107363
4462,0,0.000107363
4464,0,0.000107363
4467,0,0.000120232
4468,0,3.15E-06
4469,0,0.000107363
4470,0,0.000120232
4478,0,0.000120404
4481,0,2.30E-06
4490,0,0.00010984
4494,0,0.000189073
4497,0.000741654,0.000107415
4499,0,0.000107363
4503,0,0.000107363
4508,0,0.000107363
4511,0,2.27E-07
4514,0,0.000107363
4515,0,0.000107363
4517,0,1.29E-05
4525,1.52E-05,0
4528,0,0.000120232
4531,0,2.55E-06
4533,0,0.000107363
4539,0,8.22E-07
4542,0,1.42E-05
4546,0,0.000107363
4547,2.50E-05,0
4558,0.000204482,0.000107363
4560,0.000204037,0
4564,0,9.87E-06
4565,0,0.000107363
4569,0,0.000107363
4572,0,0.000120232
4573,0,0.000107363
4575,0,6.25E-07
4577,6.78E-05,2.91E-08
4580,0,0.000118378
4585,0,0.000120232
4595,0,0.000107363
4598,0,0.000107363
4604,3.98E-05,0
4607,0,1.29E-05
4616,0,1.74E-07
4619,0,3.65E-05
4620,0,0.000120232
4621,0,0.000107363
4626,1.53E-05,0
4628,0.000424831,0.000203217
4629,0,1.44E-06
4631,0,0.000107363
4634,0,0.000107363
4637,0.000108053,7.40E-08
4638,0,0.000107363
4639,0,0.000107363
4647,0,0.000107363
4659,5.51E-05,3.57E-05
4662,0,1.30E-05
4664,0,0.000107363
4669,0,0.000107363
4672,0,0.000107363
4675,0,0.000135493
4676,1.40E-06,0
4679,0,1.72E-06
4682,0,5.62E-05
4683,0,0.000120232
4686,1.98E-05,0
4687,0.000236327,0.000132919
4689,0,0.000107363
4695,0,9.98E-06
4697,2.66E-05,0
4701,0,2.11E-05
4704,0,1.87E-05
4705,0,1.29E-05
4708,0,0.000107363
4709,0,0.000107363
4712,0,0.000120232
4726,0,0.000107363
4727,0,2.66E-06
4732,0,0.000107363
4733,0,0.000107363
4734,0,0.000107363
4745,0,1.29E-05
4748,0,0.000107363
4753,0,1.62E-05
4754,0,1.00E-05
4757,0,0.000107363
4758,0,0.000107363
4760,0,2.65E-06
4762,0,0.000107363
4764,7.40E-05,0
4772,0.000614552,0.000145391
4773,0,0.000107363
4774,0,0.000107363
4775,0,0.000107363
4780,0,0.000113659
4782,0,0.000107363
4786,0,0.000107363
4791,1.57E-05,1.28E-06
4795,0,0.000107363
4796,0.00126227,1.30E-05
4798,2.74E-05,0
4801,0,0.000107363
4802,7.40E-05,0
4805,0,2.08E-05
4814,0,7.26E-07
4817,0,1.29E-05
4821,0,0.000107363
4824,4.79E-05,0
4831,0,0.000107363
4837,0,1.29E-05
4838,0.00010018,1.09E-05
4841,0,2.97E-05
4844,0,1.29E-05
4847,0,0.000108905
4855,0,0.000107363
4856,5.42E-05,0
4859,0,0.000107363
4866,0,0.000107363
4870,0,0.000107363
